rtr_id,rtr_name,rtr_addr,rtr_price,rtr_type,rtr_longitude,rtr_latitude,geometry,district
163057,必胜客,北角北角道10号北角亚太商业中心1楼,$101-200,意大利菜,114.20160700000001,22.288636,POINT (114.201607 22.288636),东区
163309,鱼尚,香港仔成都道20号添喜大厦地下C舖,$50以下,日本菜,114.15987,22.245934,POINT (114.15987 22.245934),南区
163351,Motorino,灣仔船街15号地下,$101-200,意大利菜,114.175698,22.273339,POINT (114.175698 22.273339),湾仔区
1634,洪记快餐厅,鴨脷洲鸭脷洲大街108号地下後舖,$50以下,港式,114.15983100000001,22.241194,POINT (114.159831 22.241194),南区
163491,The Butchers Club,香港仔田湾径9号新英工业中心13C,$101-200,西式,114.154118,22.247469,POINT (114.154118 22.247469),南区
163801,Golden Goose Gourmet,黃竹坑黄竹坑道40号贵宝工业大厦地舖,$201-400,意大利菜、法国菜、西式,114.171195,22.245304,POINT (114.171195 22.245304),南区
164,Bit Point,中環兰桂坊德己立街31号地下,$101-200,德国菜,114.16025,22.278313,POINT (114.16025 22.278313),中西区
16401,潮苑餐厅,西環石塘咀屈地街44号地下,$50以下,潮州菜,114.141683,22.283493,POINT (114.141683 22.283493),中西区
16416,太兴,筲箕灣宝文街1号峻峰花园地下3B舖,$51-100,港式,114.23361200000001,22.276262,POINT (114.233612 22.276262),东区
164272,八方云集锅贴水饺专门店,西環坚尼地城卑路乍街127号地舖,$50以下,台湾菜,114.13285800000001,22.279951,POINT (114.132858 22.279951),中西区
16444,统一茶寮,金鐘金钟道95号统一中心2楼,$50以下,港式,114.170199,22.276104999999998,POINT (114.170199 22.276105),中西区
16454,洪记咖啡,西灣河太安街12号西湾河市政大楼地下熟食中心C5号舖,$50以下,港式,114.226607,22.280076,POINT (114.226607 22.280076),东区
164652,Filters Lane,半山坚道111号,$50以下,西式,114.190579,22.317007,POINT (114.190579 22.317007),九龙城区
165037,Number One面包西饼,鰂魚涌英皇道1044号福昌楼地下18号舖,$50以下,港式,114.21730600000001,22.281765,POINT (114.217306 22.281765),东区
165142,Hooked,半山坚道86-88号,$51-100,英国菜,114.190579,22.317007,POINT (114.190579 22.317007),九龙城区
16517,阿甘虾餐厅,山頂山顶道128号凌霄阁3层304-305号舖,$201-400,美国菜,114.15478200000001,22.268593,POINT (114.154782 22.268593),中西区
16535,生记清汤牛腩面,上環禧利街20号地舖,$50以下,港式,114.156553,22.282557999999998,POINT (114.156553 22.282558),中西区
16537,点点绿,天后电气道68号,$50以下,多国菜,114.196685,22.281184,POINT (114.196685 22.281184),东区
16543,乐宴,銅鑼灣登龙街28号永光中心12楼,$401-800,日本菜,114.18695,22.276497,POINT (114.18695 22.276497),湾仔区
16565,惠箩饼店,天后电气道94A号,$50以下,港式,114.196643,22.281869,POINT (114.196643 22.281869),东区
16566,嘉乐楼,跑馬地山光道香港赛马会会所2楼,$201-400,粤菜 (广东),114.18898300000001,22.266227,POINT (114.188983 22.266227),湾仔区
165744,良记美食,西灣河筲箕湾道57-87号太安楼A55号A舖,$50以下,粤菜 (广东),114.22664099999999,22.280379,POINT (114.226641 22.280379),东区
16599,茶馆,淺水灣大潭水塘道88号阳明山庄会所,$51-100,西式,114.203865,22.255095,POINT (114.203865 22.255095),湾仔区
166040,Glasshouse (国际金融中心),中環港景街1号国际金融中心4楼4009号舖,$101-200,西式,114.164772,22.282318,POINT (114.164772 22.282318),中西区
166068,鸿福堂,筲箕灣宝文街2号海峰中心地下4号舖,$50以下,粤菜 (广东),114.233552,22.275638,POINT (114.233552 22.275638),东区
166117,美心西饼,柴灣小西湾道28号蓝湾广场地下 G19 & G20A 号舖,$50以下,港式,114.25575900000001,22.262793,POINT (114.255759 22.262793),东区
166131,K-TOWN Bar &amp; Grill,西环坚尼地城科士街44号先施西环大厦地下G7&G8号舖,$101-200,西式、多国菜,114.13178400000001,22.278686999999998,POINT (114.131784 22.278687),中西区
16626,新龙珠饼店,筲箕灣筲箕湾东大街105号,$50以下,港式,114.23496399999999,22.27625,POINT (114.234964 22.27625),东区
166406,卅二公馆,中環德辅道中4-4A号渣打银行大厦地库,$401-800,粤菜 (广东)、川菜 (四川)、京菜 (官府菜),114.163795,22.277499,POINT (114.163795 22.277499),中西区
166420,湖畔美食,黃竹坑海洋公园梦幻水都人工湖公园小食亭3号,$50以下,中东菜,114.179224,22.290564,POINT (114.179224 22.290564),油尖旺区
16643,和三昧,銅鑼灣轩尼诗道555号东角中心22楼,$801以上,日本菜,114.16161899999999,22.283936999999998,POINT (114.161619 22.283937),中西区
16667,凯施饼店,筲箕灣筲箕湾道396号地下,$50以下,港式,114.22603000000001,22.280483,POINT (114.22603 22.280483),东区
16714,浩记餐厅小厨,西灣河圣十字径38号4-5号舖,$50以下,港式,114.22693899999999,22.278281,POINT (114.226939 22.278281),东区
167334,和斗刺身寿司外卖专门店,香港仔田湾石排湾道84号,$51-100,日本菜,114.15396899999999,22.246462,POINT (114.153969 22.246462),南区
